순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
87,부활: 그 증거,김상철,0,2020-10-08,개봉영화,한국,111,0.2364836,2364836,291.53,"29,153","474,932","47,493,200","5,734",다큐멘터리,전체관람가,독립/예술영화
88,"어디갔어, 버나뎃",리차드 링클레이터,0,2020-10-08,개봉영화,북아메리카,253,0.236253,2362530,283.78,"28,378","1,025,480","102,548,000","12,154",코미디,12세이상관람가,독립/예술영화
89,기생충,봉준호,2,2019-05-30,개봉영화,한국,1948,0.23489682,2348968.2,293.2,"29,320","906,013","90,601,300","11,102",드라마,15세이상관람가,일반영화
90,미스비헤이비어,필립파 로소프,0,2020-05-27,개봉영화,유럽,378,0.23442186,2344218.6,288.84,"28,884","1,067,004","106,700,360","12,991",드라마,15세이상관람가,독립/예술영화
91,파리의 인어,마티아스 마르지유,0,2020-07-23,개봉영화,유럽,204,0.2322735,2322735,276.18,"27,618","892,365","89,236,500","10,552",멜로/로맨스,12세이상관람가,독립/예술영화
92,더 보이 2: 돌아온 브람스,윌리엄 브렌트 벨,0,2020-03-05,개봉영화,북아메리카,179,0.231152,2311520,265.31,"26,531","799,280","79,928,000","9,271",공포(호러),15세이상관람가,일반영화
93,킹덤 오브 헤븐: 디렉터스 컷,리들리 스콧,0,2020-11-11,개봉영화,유럽,117,0.2309716,2309716,251.53,"25,153","1,185,539","118,553,900","12,497",액션,15세이상관람가,일반영화
94,n번째 이별 중,,0,2020-04-01,개봉영화,북아메리카,171,0.2253588,2253588,249.15,"24,915","872,967","87,296,700","9,615",멜로/로맨스,12세이상관람가,독립/예술영화
95,찬실이는 복도 많지,김초희,0,2020-03-05,개봉영화,한국,241,0.22452396,2245239.6,262.48,"26,248","1,409,370","140,936,960","15,801",드라마,전체관람가,독립/예술영화
96,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,661,0.22166471,2216647.1,270.94,"27,094","365,587","36,558,650","4,171",애니메이션,전체관람가,일반영화
97,결백,박상현,1,2020-06-10,개봉영화,한국,1112,0.21707,2170700,281.72,"28,172","2,170,700","217,070,000","28,172",드라마,15세이상관람가,일반영화
98,더 프롬,라이언 머피,1,2020-12-02,개봉영화,북아메리카,662,0.21392073,2139207.3,246.35,"24,635","840,285","84,028,530","9,478",코미디,12세이상관람가,일반영화
99,폰조,조쉬 트랭크,0,2020-10-14,개봉영화,북아메리카,574,0.21175931,2117593.1,253.83,"25,383","792,021","79,202,080","9,237",범죄,청소년관람불가,독립/예술영화
100,애비규환,최하나,0,2020-11-12,개봉영화,한국,453,0.2067313,2067313,227.29,"22,729","960,409","96,040,940","9,985",드라마,12세이상관람가,독립/예술영화
101,블루 아워,하코타 유코,0,2020-07-22,개봉영화,아시아,322,0.2025816,2025816,238.03,"23,803","1,176,343","117,634,300","13,168",드라마,12세이상관람가,독립/예술영화
102,캣츠토피아,게리 왕,0,2020-04-30,개봉영화,아시아,367,0.20122316,2012231.6,240,"24,000","291,532","29,153,160","3,370",판타지,전체관람가,독립/예술영화
103,비바리움,,0,2020-07-16,개봉영화,북아메리카,129,0.19530412,1953041.2,237.55,"23,755","805,589","80,558,940","9,082",미스터리,15세이상관람가,독립/예술영화
104,울프 콜,안토닌 보드리,0,2020-03-05,개봉영화,유럽,336,0.19206158,1920615.8,232.47,"23,247","609,719","60,971,900","7,334",액션,15세이상관람가,독립/예술영화
105,마리 퀴리,마르잔 사트라피,0,2020-11-18,개봉영화,유럽,484,0.19150092,1915009.2,245.73,"24,573","869,620","86,961,990","11,943",드라마,15세이상관람가,독립/예술영화
106,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,1288,0.18986671,1898667.1,234.86,"23,486","508,198","50,819,820","7,059",코미디,15세이상관람가,일반영화
107,테슬라,마이클 알메레이다,0,2020-10-28,개봉영화,북아메리카,460,0.18484295,1848429.5,234.41,"23,441","761,325","76,132,540","9,450",드라마,12세이상관람가,일반영화
108,유령선,김지영,0,2020-04-15,개봉영화,한국,165,0.18193392,1819339.2,207.84,"20,784","682,073","68,207,300","7,684",다큐멘터리,12세이상관람가,독립/예술영화
109,인베이젼 2020,표도르 본다르추크,0,2020-07-01,개봉영화,유럽,354,0.17913526,1791352.6,216.09,"21,609","460,984","46,098,440","5,411",SF,12세이상관람가,일반영화
110,에이바,테이트 테일러,0,2020-09-09,개봉영화,북아메리카,515,0.17867025,1786702.5,228.32,"22,832","571,662","57,166,200","7,244",액션,15세이상관람가,일반영화
111,아이 엠 우먼,문은주,0,2021-01-14,개봉영화,호주,494,0.17755277,1775527.7,219.13,"21,913","775,376","77,537,630","10,395",드라마,15세이상관람가,독립/예술영화
112,팬데믹,,0,2020-07-22,개봉영화,북아메리카,382,0.17618196,1761819.6,203.55,"20,355","395,185","39,518,480","4,459",스릴러,15세이상관람가,독립/예술영화
