순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
110,에이바,테이트 테일러,0,2020-09-09,개봉영화,북아메리카,515,"1,786,703","178,670,250",228,"22,832",571662,"57,166,200",7244,액션,15세이상관람가,일반영화
111,아이 엠 우먼,문은주,0,2021-01-14,개봉영화,호주,494,"1,775,528","177,552,770",219,"21,913",775376.3,"77,537,630",10395,드라마,15세이상관람가,독립/예술영화
112,팬데믹,,0,2020-07-22,개봉영화,북아메리카,382,"1,761,820","176,181,960",204,"20,355",395184.8,"39,518,480",4459,스릴러,15세이상관람가,독립/예술영화
113,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,,0,2020-11-12,개봉영화,유럽,187,"1,740,690","174,069,000",259,"25,889",321350,"32,135,000",4680,애니메이션,전체관람가,독립/예술영화
114,비밀정보원: 인 더 프리즌,안드레아 디 스테파노,0,2020-04-15,개봉영화,유럽,200,"1,725,889","172,588,940",203,"20,317",649645.8,"64,964,580",7585,범죄,청소년관람불가,일반영화
115,레미제라블: 뮤지컬 콘서트,제임스 파우웰,1,2020-05-13,개봉영화,북아메리카,339,"1,629,219","162,921,920",124,"12,426",681749.4,"68,174,940",5768,뮤지컬,12세이상관람가,일반영화
116,추억의 검정고무신,송정율,0,2020-11-19,개봉영화,한국,215,"1,620,831","162,083,100",201,"20,113",290925,"29,092,500",3247,애니메이션,전체관람가,독립/예술영화
117,블라인드,타마르 반 덴 도프,0,2021-01-14,개봉영화,유럽,239,"1,585,321","158,532,100",183,"18,297",588487,"58,848,700",6742,드라마,15세이상관람가,일반영화
118,애프터 웨딩 인 뉴욕,바트 프룬디치,0,2020-04-23,개봉영화,유럽,169,"1,573,463","157,346,280",192,"19,241",911692.2,"91,169,220",11103,드라마,12세이상관람가,독립/예술영화
119,더 터닝,플로리아 시지스몬디,0,2020-04-02,개봉영화,북아메리카,294,"1,541,979","154,197,940",175,"17,532",556481,"55,648,100",6194,미스터리,15세이상관람가,독립/예술영화
120,돌멩이,김정식,0,2020-10-15,개봉영화,한국,425,"1,463,734","146,373,400",176,"17,632",539501.3,"53,950,130",6044,드라마,12세이상관람가,독립/예술영화
121,마틴 에덴,피에트로 마르첼로,0,2020-10-29,개봉영화,유럽,60,"1,433,834","143,383,430",156,"15,593",1054158.3,"105,415,830",11136,드라마,12세이상관람가,독립/예술영화
122,800,관후,0,2020-12-10,개봉영화,아시아,223,"1,417,102","141,710,200",166,"16,626",438725,"43,872,500",5010,전쟁,15세이상관람가,일반영화
123,킹덤,사토 신스케,0,2020-04-29,개봉영화,아시아,186,"1,409,375","140,937,500",177,"17,663",448370,"44,837,000",5614,액션,15세이상관람가,일반영화
124,해수의 아이,와타나베 아유무,0,2020-09-30,개봉영화,아시아,76,"1,399,879","139,987,850",152,"15,211",773047.4,"77,304,740",7749,애니메이션,전체관람가,독립/예술영화
125,택스 콜렉터,데이비드 에이어,0,2020-11-18,개봉영화,북아메리카,372,"1,385,253","138,525,250",182,"18,197",670397.6,"67,039,760",9579,액션,청소년관람불가,일반영화
126,아홉 스님,윤성준,0,2020-05-27,개봉영화,한국,141,"1,376,252","137,625,200",223,"22,330",706320,"70,632,000",13607,드라마,전체관람가,독립/예술영화
127,#아이엠히어,에릭 라티고,2,2021-01-14,개봉영화,유럽,432,"1,357,957","135,795,710",163,"16,290",559239.5,"55,923,950",7437,멜로/로맨스,12세이상관람가,독립/예술영화
128,100% 울프: 푸들이 될 순 없어,알렉스 스타더만,0,2020-12-24,개봉영화,호주,370,"1,344,906","134,490,620",171,"17,089",244625.6,"24,462,560",2967,애니메이션,전체관람가,독립/예술영화
